time,step,learning_rate,loss,accuracy
3518.551172733307,337,0.00078275776,1.3082471,0.51
3526.3659431934357,338,0.00078275776,1.6163902,0.53
3537.504985809326,339,0.00078275776,1.3139486,0.49
3548.6683251857758,340,0.00078275776,1.0729152,0.53
3560.789234161377,341,0.00078275776,0.99438787,0.48
3571.7288682460785,342,0.00078275776,1.415396,0.57
3582.8461561203003,343,0.00078275776,1.4378242,0.44
3591.827432870865,344,0.00078275776,1.7417938,0.45
3603.0694913864136,345,0.00078275776,1.5688778,0.5
3611.416053056717,346,0.00078275776,1.4986857,0.53
3622.534543991089,347,0.00078275776,1.313927,0.52
3631.7383246421814,348,0.00078275776,1.245331,0.47
3641.115334510803,349,0.00078275776,1.600538,0.49
3653.6280937194824,350,0.00078275776,1.3657063,0.56
3664.743151664734,351,0.0007514474,1.1501827,0.45
3676.401661634445,352,0.0007514474,1.1285777,0.52
3684.270825624466,353,0.0007514474,0.8619153,0.51
3695.21493768692,354,0.0007514474,1.2886977,0.51
3706.5640087127686,355,0.0007514474,1.2925637,0.51
3715.1837952136993,356,0.0007514474,1.3700352,0.54
3727.2148106098175,357,0.0007514474,1.4270412,0.46
3737.7510809898376,358,0.0007514474,1.5156649,0.45
3750.093735218048,359,0.0007514474,1.2670203,0.46
3761.528265476227,360,0.0007514474,1.5343451,0.44
3773.5868039131165,361,0.0007514474,1.4696879,0.51
3784.2801003456116,362,0.0007514474,1.5830699,0.48
3794.4538650512695,363,0.0007514474,1.2499647,0.5
3801.872977733612,364,0.0007514474,1.0507665,0.49
3813.2169251441956,365,0.0007514474,0.9936671,0.61
3822.590210199356,366,0.0007514474,1.2218812,0.44
3831.721874475479,367,0.0007514474,1.0696044,0.5
3843.1454124450684,368,0.0007514474,1.2528467,0.53
3854.040463447571,369,0.0007514474,1.4545038,0.52
3865.016833782196,370,0.0007514474,1.4533228,0.53
3876.3971400260925,371,0.0007514474,0.9588021,0.56
3885.3215017318726,372,0.0007514474,1.4317014,0.45
3896.8869726657867,373,0.0007514474,1.1617928,0.47
3908.542577266693,374,0.0007514474,1.3317928,0.54
3920.8415656089783,375,0.0007514474,1.0976145,0.46
3931.79918384552,376,0.0007514474,1.2039442,0.49
3941.2615160942078,377,0.0007514474,1.3262254,0.6
3949.405780315399,378,0.0007514474,0.7977592,0.58
3956.994294166565,379,0.0007514474,1.1002702,0.58
3969.3582723140717,380,0.0007514474,0.87288785,0.51
3977.0302522182465,381,0.0007514474,0.66413355,0.51
3988.538298845291,382,0.0007514474,1.372718,0.44
3999.43568611145,383,0.0007514474,1.5811081,0.48
4010.0854766368866,384,0.0007514474,1.0753925,0.51
4018.477145433426,385,0.0007514474,1.5451846,0.58
