time,step,rank,num_batches,compute_time_worker,compute_time_master
37695.52461433411,3627,6,16,5.700967788696289,5.2681334018707275
37695.85516452789,3627,1,16,6.008052587509155,5.598683595657349
37695.93443250656,3627,10,16,6.041186094284058,5.6779515743255615
37696.988318920135,3627,9,16,7.12714695930481,6.73183798789978
37697.16090083122,3627,4,16,7.319170236587524,6.904419898986816
37698.66218209267,3627,5,16,8.811378717422485,8.405701160430908
37700.232493400574,3627,7,16,10.401120662689209,9.976012468338013
37700.62468910217,3627,8,16,10.80313515663147,10.368208169937134
37700.72161889076,3627,2,16,10.819390296936035,10.465137958526611
37706.620190143585,3628,1,16,5.5601935386657715,5.14532995223999
37706.69520139694,3628,6,16,5.586658716201782,5.220341205596924
37706.76739215851,3628,8,16,5.58799934387207,5.292531967163086
37706.85161662102,3628,7,16,5.758938312530518,5.376756429672241
37706.92889928818,3628,10,16,5.883158206939697,5.454039096832275
37707.11510396004,3628,4,16,6.072533845901489,5.640243768692017
37708.12646985054,3628,9,16,7.059128522872925,6.651609659194946
37708.234602451324,3628,5,16,7.116188287734985,6.759742259979248
37708.720086336136,3628,3,16,7.692448616027832,7.245226144790649
37710.99339723587,3628,2,16,9.938480854034424,9.518537044525146
37716.94677519798,3629,1,16,5.607609272003174,5.17122220993042
37717.02476453781,3629,3,16,5.665132284164429,5.249211549758911
37717.097481012344,3629,6,16,5.765407562255859,5.321928024291992
37717.204486608505,3629,2,16,5.747842073440552,5.428933620452881
37717.588906764984,3629,4,16,6.253473997116089,5.813353776931763
37718.108647584915,3629,5,16,6.764987230300903,6.333094596862793
37718.38798069954,3629,9,16,7.034722328186035,6.612427711486816
37718.88762331009,3629,10,16,7.559516906738281,7.112070322036743
37719.016926050186,3629,7,16,7.690593004226685,7.241373062133789
37722.04341197014,3629,8,16,10.731245040893555,10.267858982086182
37727.938638448715,3630,8,16,5.577783584594727,5.11734938621521
37728.02538013458,3630,10,16,5.615481376647949,5.2040910720825195
37728.21192240715,3630,7,16,5.831923723220825,5.3906333446502686
37728.31444001198,3630,2,16,5.844587564468384,5.493150949478149
37728.388377189636,3630,6,16,5.936010837554932,5.5670881271362305
37728.49267578125,3630,1,16,5.943525791168213,5.67138671875
37729.08940625191,3630,5,16,6.699486494064331,6.268117189407349
37729.816846847534,3630,3,16,7.456139087677002,6.99555778503418
37729.9454331398,3630,4,16,7.55377984046936,7.124144077301025
37730.06625151634,3630,9,16,7.646458864212036,7.244962453842163
37735.9818046093,3631,3,16,5.592130184173584,5.157026529312134
37736.07328391075,3631,7,16,5.583781719207764,5.2485058307647705
37736.25443196297,3631,8,16,5.861480236053467,5.429653882980347
37737.57723236084,3631,5,16,7.1531431674957275,6.7524542808532715
37737.87920284271,3631,4,16,7.494865655899048,7.05442476272583
37738.16159558296,3631,1,16,7.750938892364502,7.336817502975464
37738.37210249901,3631,2,16,7.975539922714233,7.5473244190216064
37738.4596517086,3631,10,16,7.980704069137573,7.634873628616333
37738.659521341324,3631,6,16,8.276346445083618,7.83474326133728
37739.40596318245,3631,9,16,8.971760034561157,8.581185102462769
37745.27791929245,3632,3,16,5.578456163406372,5.1452507972717285
37745.36482787132,3632,7,16,5.60125994682312,5.232159376144409
37745.43531560898,3632,8,16,5.584522724151611,5.302647113800049
37745.5165951252,3632,10,16,5.60480260848999,5.383926630020142
37745.61473417282,3632,1,16,5.8599419593811035,5.482065677642822
37745.710111141205,3632,2,16,5.809605836868286,5.577442646026611
37746.742485284805,3632,9,16,7.001150369644165,6.609816789627075
37747.05353951454,3632,5,16,7.325724363327026,6.920871019363403
37747.58651089668,3632,4,16,7.861890554428101,7.453842401504517
37750.71279120445,3632,6,16,11.009033679962158,10.580122709274292
37756.929359674454,3633,7,16,5.884739875793457,5.446726322174072
37757.00591182709,3633,4,16,5.961930274963379,5.523278474807739
37757.322338581085,3633,2,16,6.2653186321258545,5.839705228805542
37758.1259701252,3633,5,16,7.050922632217407,6.643336772918701
37758.32672762871,3633,9,16,7.241992950439453,6.844094276428223
37758.66534614563,3633,1,16,7.61027455329895,7.18271279335022
37758.908163785934,3633,6,16,7.874245643615723,7.425530433654785
37759.180146455765,3633,10,16,8.131710052490234,7.697513103485107
37761.99205470085,3633,8,16,10.9450843334198,10.509421348571777
37762.07631635666,3633,3,16,11.018285989761353,10.593683004379272
37767.956703424454,3634,6,16,5.555341958999634,5.1124725341796875
37768.0428507328,3634,7,16,5.56262731552124,5.198619842529297
37768.12715625763,3634,10,16,5.6193318367004395,5.282925367355347
37768.22266340256,3634,2,16,5.749831199645996,5.378432512283325
37768.29886841774,3634,4,16,5.64169454574585,5.45463752746582
37768.36846137047,3634,8,16,5.942689418792725,5.524230480194092
37769.13408446312,3634,5,16,6.710098028182983,6.289853572845459
