time,step,rank,num_samples,compute_time,compute_time_master
57.03903865814209,9,2,286,6.347395896911621,2.2172927856445312e-05
57.0390408039093,9,3,286,6.609533786773682,2.4318695068359375e-05
57.03904318809509,9,4,66,6.487626314163208,2.6702880859375e-05
57.039045095443726,9,5,264,6.343921661376953,2.86102294921875e-05
57.03904700279236,9,6,286,6.357632637023926,3.0517578125e-05
57.03905010223389,9,7,286,6.451062440872192,3.361701965332031e-05
57.03905200958252,9,8,198,6.663450717926025,3.552436828613281e-05
57.03905367851257,9,9,198,6.6275718212127686,3.719329833984375e-05
57.03905510902405,9,10,286,6.439132213592529,3.8623809814453125e-05
64.2107343673706,10,1,198,6.610277414321899,1.5974044799804688e-05
64.2107412815094,10,2,286,6.485712289810181,2.288818359375e-05
64.21074342727661,10,3,264,6.2587316036224365,2.5033950805664062e-05
