time,learning_rate,step,loss,accuracy
3038.790405035019,0.001,411,1.1066589,0.56
3046.005469560623,0.001,412,1.0615501,0.58
3053.1571362018585,0.001,413,1.076183,0.53
3060.2858939170837,0.001,414,1.215721,0.58
3067.420285463333,0.001,415,1.1631981,0.55
3074.576648712158,0.001,416,1.3088105,0.58
3081.7716839313507,0.001,417,1.3026992,0.53
3088.9677350521088,0.001,418,1.0120714,0.63
3096.196783065796,0.001,419,0.9775606,0.55
3103.360250234604,0.001,420,0.9733049,0.56
3110.967479467392,0.001,421,1.3550355,0.5
3118.0994403362274,0.001,422,1.1114125,0.57
3125.248730659485,0.001,423,1.0361558,0.58
3132.4419479370117,0.001,424,1.0439115,0.56
3139.618597507477,0.001,425,1.2254704,0.54
3146.7860136032104,0.001,426,1.1385554,0.5
3153.9113183021545,0.001,427,1.1584523,0.62
3160.9526031017303,0.001,428,1.0870452,0.61
3167.9146530628204,0.001,429,0.9087407,0.61
3175.03111076355,0.001,430,0.9649058,0.54
3182.16956782341,0.001,431,1.1002927,0.58
3189.291179418564,0.001,432,1.1530769,0.61
3196.531655073166,0.001,433,1.1842964,0.57
3203.665929555893,0.001,434,1.0711066,0.67
3210.775706768036,0.001,435,1.001873,0.65
3217.974141597748,0.001,436,0.95011145,0.69
3225.137036085129,0.001,437,1.0206277,0.66
3232.2445545196533,0.001,438,1.0554723,0.65
3239.4667913913727,0.001,439,1.1200266,0.5
3246.5450069904327,0.001,440,1.2488456,0.61
3253.6426413059235,0.001,441,1.3272587,0.61
3260.6654810905457,0.001,442,1.0072857,0.66
3267.8387298583984,0.001,443,0.9585067,0.67
3274.961083173752,0.001,444,0.9718092,0.65
3282.130372285843,0.001,445,1.0666884,0.63
3289.261828184128,0.001,446,1.1061592,0.56
3296.4082415103912,0.001,447,0.9022492,0.61
3303.466908454895,0.001,448,1.2756743,0.56
3311.0500161647797,0.001,449,0.9901356,0.57
3318.172048330307,0.001,450,1.0173663,0.59
3325.417427301407,0.001,451,0.9542664,0.54
3332.631941795349,0.001,452,1.1492692,0.65
3339.8364474773407,0.001,453,1.0300648,0.62
3346.99968624115,0.001,454,1.0983293,0.64
3354.1326816082,0.001,455,0.98133284,0.62
3361.1719098091125,0.001,456,0.98162395,0.68
3368.244032382965,0.001,457,0.985595,0.49
3375.441285133362,0.001,458,1.2818465,0.54
3382.539213180542,0.001,459,1.230401,0.53
3389.7634031772614,0.001,460,1.1074897,0.6
3396.796374797821,0.001,461,1.0519153,0.58
3403.9628574848175,0.001,462,1.0394292,0.61
3411.083088874817,0.001,463,0.999418,0.64
3418.262934923172,0.001,464,0.8633797,0.62
3425.333104610443,0.001,465,0.8103564,0.53
3432.323614835739,0.001,466,1.2852823,0.52
3439.40997838974,0.001,467,1.1320382,0.6
3446.5401573181152,0.001,468,1.0165652,0.66
3453.64635515213,0.001,469,1.1098161,0.54
3460.661292076111,0.001,470,1.0971731,0.65
3467.89732336998,0.001,471,0.97958535,0.59
3475.0518610477448,0.001,472,1.1407726,0.67
3482.1301715373993,0.001,473,1.0454413,0.6
3489.2729320526123,0.001,474,0.79256815,0.71
3496.4788694381714,0.001,475,0.7788552,0.65
3504.203615665436,0.001,476,0.7081684,0.66
3511.726817846298,0.001,477,0.7885856,0.56
3518.9259593486786,0.001,478,1.0083165,0.6
3526.0001401901245,0.001,479,0.95356554,0.64
3533.085076570511,0.001,480,0.89877087,0.56
3540.174001932144,0.001,481,0.9548147,0.57
3547.3377022743225,0.001,482,1.0365351,0.58
3554.4925389289856,0.001,483,0.82426256,0.63
3561.68199133873,0.001,484,0.8960478,0.56
3568.8401577472687,0.001,485,1.002729,0.58
3575.9903366565704,0.001,486,0.98025316,0.69
3583.157711982727,0.001,487,0.88591975,0.59
3590.3103301525116,0.001,488,0.9867041,0.63
3597.3012833595276,0.001,489,0.7871426,0.63
3604.4988791942596,0.001,490,0.7140198,0.68
3611.603206396103,0.001,491,0.7941967,0.51
3618.6485545635223,0.001,492,1.0607035,0.62
3625.891513109207,0.001,493,1.0614266,0.66
3633.069326400757,0.001,494,0.8868127,0.55
3640.083060979843,0.001,495,0.8357258,0.62
3647.226066350937,0.001,496,0.7766199,0.67
3654.396409034729,0.001,497,0.6314074,0.6
3661.6083784103394,0.001,498,0.8289061,0.66
3668.65496468544,0.001,499,0.8135562,0.6
3675.882745027542,0.001,500,0.8508279,0.55
3682.952441930771,0.001,501,0.87745667,0.62
3690.1373217105865,0.001,502,0.71534646,0.68
3697.23761177063,0.001,503,0.85672265,0.64
3704.401449203491,0.001,504,0.6273447,0.68
