time,step,rank,num_samples,compute_time_worker,compute_time_master
170.69500827789307,25,8,286,6.499495029449463,4.4345855712890625e-05
170.69501042366028,25,9,286,6.457578659057617,4.649162292480469e-05
170.69501280784607,25,10,286,6.469433069229126,4.887580871582031e-05
177.74494695663452,26,1,286,6.355831146240234,2.09808349609375e-05
177.74495482444763,26,2,198,6.241989374160767,2.8848648071289062e-05
177.744957447052,26,3,66,6.349393367767334,3.147125244140625e-05
177.7449595928192,26,4,286,6.4440598487854,3.361701965332031e-05
177.74496173858643,26,5,286,6.284758806228638,3.5762786865234375e-05
177.74496483802795,26,6,44,6.233564138412476,3.886222839355469e-05
177.74496698379517,26,7,198,6.578244924545288,4.100799560546875e-05
177.7449688911438,26,8,198,6.304468631744385,4.291534423828125e-05
177.744971036911,26,9,286,6.445677995681763,4.506111145019531e-05
177.7449734210968,26,10,286,6.33338475227356,4.744529724121094e-05
184.8691282272339,27,1,286,6.31847882270813,2.0503997802734375e-05
184.86913681030273,27,2,198,6.209488868713379,2.9087066650390625e-05
184.86913990974426,27,3,286,6.626528263092041,3.218650817871094e-05
184.86914205551147,27,4,220,6.2978127002716064,3.4332275390625e-05
184.8691442012787,27,5,198,6.239356994628906,3.647804260253906e-05
184.86914658546448,27,6,286,6.5108253955841064,3.886222839355469e-05
184.8691484928131,27,7,286,6.4102091789245605,4.076957702636719e-05
184.86915183067322,27,8,88,6.587098598480225,4.410743713378906e-05
184.86915397644043,27,9,198,6.500551462173462,4.6253204345703125e-05
184.86915612220764,27,10,176,6.229336261749268,4.839897155761719e-05
192.0509111881256,28,1,220,6.497901678085327,2.0742416381835938e-05
192.0509192943573,28,2,66,6.5676963329315186,2.8848648071289062e-05
192.0509216785431,28,3,286,6.470070838928223,3.123283386230469e-05
192.05092406272888,28,4,286,6.4022698402404785,3.361701965332031e-05
192.0509262084961,28,5,286,6.294345855712891,3.5762786865234375e-05
192.0509283542633,28,6,220,6.617840051651001,3.790855407714844e-05
192.050931930542,28,7,198,6.320713758468628,4.1484832763671875e-05
192.05093383789062,28,8,88,6.53386926651001,4.3392181396484375e-05
192.05093574523926,28,9,286,6.429788827896118,4.5299530029296875e-05
192.0509376525879,28,10,286,6.544864177703857,4.7206878662109375e-05
218.33335375785828,29,1,176,6.39089822769165,2.193450927734375e-05
218.33336234092712,29,2,264,6.219025135040283,3.0517578125e-05
218.33336448669434,29,3,66,6.513375520706177,3.266334533691406e-05
218.33336663246155,29,4,286,6.462849140167236,3.4809112548828125e-05
218.33336877822876,29,5,286,6.452645301818848,3.695487976074219e-05
218.33337116241455,29,6,286,6.568417549133301,3.933906555175781e-05
218.33337497711182,29,7,286,6.384293556213379,4.315376281738281e-05
218.33337688446045,29,8,286,6.417529821395874,4.506111145019531e-05
218.33337950706482,29,9,286,6.425266742706299,4.76837158203125e-05
218.33338165283203,29,10,286,6.314376592636108,4.982948303222656e-05
225.50556254386902,30,1,286,6.43681526184082,2.1457672119140625e-05
225.5055706501007,30,2,286,6.4262449741363525,2.956390380859375e-05
225.5055730342865,30,3,198,6.2658531665802,3.1948089599609375e-05
225.5055751800537,30,4,286,6.471533298492432,3.409385681152344e-05
225.50557708740234,30,5,286,6.303404808044434,3.600120544433594e-05
225.50557899475098,30,6,88,6.474897623062134,3.790855407714844e-05
225.5055811405182,30,7,286,6.384624004364014,4.00543212890625e-05
225.50558471679688,30,8,88,6.682861328125,4.363059997558594e-05
225.5055866241455,30,9,264,6.201403617858887,4.553794860839844e-05
225.50558924674988,30,10,286,6.3248560428619385,4.8160552978515625e-05
232.64513611793518,31,1,286,6.335174798965454,2.0742416381835938e-05
232.64514589309692,31,2,220,6.345613241195679,3.0517578125e-05
232.64514827728271,31,3,66,6.462287902832031,3.2901763916015625e-05
232.6451506614685,31,4,242,6.221988201141357,3.528594970703125e-05
232.64515280723572,31,5,286,6.43953013420105,3.743171691894531e-05
232.64515614509583,31,6,66,6.21051287651062,4.076957702636719e-05
232.64515829086304,31,7,286,6.498907089233398,4.291534423828125e-05
232.64516019821167,31,8,264,6.218946695327759,4.482269287109375e-05
232.64516234397888,31,9,286,6.412221670150757,4.696846008300781e-05
232.6451644897461,31,10,198,6.6511640548706055,4.9114227294921875e-05
239.79922676086426,32,1,198,6.622955322265625,2.1457672119140625e-05
239.79923486709595,32,2,286,6.491485834121704,2.956390380859375e-05
239.79923748970032,32,3,176,6.469770669937134,3.218650817871094e-05
239.7992398738861,32,4,198,6.429376125335693,3.457069396972656e-05
239.79924201965332,32,5,198,6.329929351806641,3.6716461181640625e-05
239.79924392700195,32,6,286,6.64466404914856,3.8623809814453125e-05
239.7992458343506,32,7,176,6.519306659698486,4.0531158447265625e-05
239.799250125885,32,8,264,6.264198303222656,4.482269287109375e-05
239.79925203323364,32,9,286,6.427498817443848,4.673004150390625e-05
239.799254655838,32,10,220,6.433706521987915,4.935264587402344e-05
246.92457485198975,33,1,286,6.330161094665527,2.1696090698242188e-05
246.92458319664001,33,2,88,6.670765161514282,3.0040740966796875e-05
246.92458581924438,33,3,176,6.5118248462677,3.266334533691406e-05
246.9245879650116,33,4,286,6.419445276260376,3.4809112548828125e-05
246.9245901107788,33,5,286,6.332794666290283,3.695487976074219e-05
246.92459225654602,33,6,286,6.434580087661743,3.910064697265625e-05
246.92459511756897,33,7,198,6.358041763305664,4.1961669921875e-05
246.92459726333618,33,8,198,6.333938360214233,4.410743713378906e-05
246.9245994091034,33,9,264,6.343487501144409,4.6253204345703125e-05
246.92460107803345,33,10,286,6.3506975173950195,4.792213439941406e-05
