time,learning_rate,loss,step,accuracy
3847.9615042209625,0.0006017009,1.0716188,372,0.57
3858.857507944107,0.0006017009,1.069811,373,0.58
3869.979596376419,0.0006017009,1.3481712,374,0.58
3876.367304086685,0.0006017009,1.103039,375,0.63
3884.2803485393524,0.0006017009,1.1330116,376,0.6
3895.6068646907806,0.0006017009,0.92804813,377,0.57
3906.833019018173,0.0006017009,1.0022863,378,0.56
3917.713399171829,0.0006017009,0.98638636,379,0.62
3928.839879512787,0.0006017009,1.1507118,380,0.55
3939.2428855895996,0.0006017009,1.1697025,381,0.51
3949.4280302524567,0.0006017009,1.2444623,382,0.58
3960.3865909576416,0.0006017009,1.2121063,383,0.55
3970.8252832889557,0.0006017009,1.1179274,384,0.53
3978.890937566757,0.0006017009,1.137991,385,0.54
3990.099264860153,0.0006017009,1.2328461,386,0.56
4000.810157060623,0.0006017009,1.2174723,387,0.56
4009.3414816856384,0.0006017009,1.0976255,388,0.62
4019.950304031372,0.0006017009,0.98499215,389,0.58
4031.09933924675,0.0006017009,1.039298,390,0.68
4041.940737724304,0.0006017009,0.887933,391,0.54
4050.0956461429596,0.0006017009,1.0527273,392,0.66
4060.557436466217,0.0006017009,1.1609958,393,0.56
4071.506227493286,0.0006017009,1.060252,394,0.66
4082.6559298038483,0.0006017009,1.0390571,395,0.58
4090.909031152725,0.0006017009,0.98058325,396,0.65
4101.886107206345,0.0006017009,0.94876355,397,0.59
4110.052793264389,0.0006017009,1.0374558,398,0.64
4120.863749504089,0.0006017009,1.0702642,399,0.59
4131.985914230347,0.0006017009,0.99660754,400,0.63
4143.2597370147705,0.00055958185,0.9986424,401,0.66
4151.586220502853,0.00055958185,0.96363544,402,0.62
4159.763247489929,0.00055958185,1.031351,403,0.57
4170.352329015732,0.00055958185,1.0695641,404,0.56
4180.772306203842,0.00055958185,1.1793891,405,0.62
4188.272418260574,0.00055958185,0.90168285,406,0.66
4199.589520692825,0.00055958185,0.9440489,407,0.53
4210.340766429901,0.00055958185,1.0763633,408,0.51
4220.981214761734,0.00055958185,1.1020104,409,0.67
4228.942617177963,0.00055958185,0.95566434,410,0.57
4237.293797492981,0.00055958185,0.9630388,411,0.64
4245.671492815018,0.00055958185,0.88387823,412,0.55
4256.246497869492,0.00055958185,1.1133485,413,0.62
4264.247521400452,0.00055958185,1.0301317,414,0.63
4274.914365530014,0.00055958185,0.8827283,415,0.57
4282.542955875397,0.00055958185,0.86460036,416,0.64
4293.647248983383,0.00055958185,0.86698073,417,0.6
4303.688359498978,0.00055958185,0.7397692,418,0.65
4314.813021183014,0.00055958185,0.7592755,419,0.6
4325.563020944595,0.00055958185,0.85306865,420,0.7
4336.443665981293,0.00055958185,0.8020824,421,0.52
4347.921655893326,0.00055958185,1.0559739,422,0.64
4358.496883869171,0.00055958185,0.8931794,423,0.6
4366.476795911789,0.00055958185,0.7915277,424,0.68
4377.722277402878,0.00055958185,1.1220791,425,0.53
4385.945103883743,0.00055958185,1.05183,426,0.59
4393.785892009735,0.00055958185,0.94083554,427,0.6
4404.677238225937,0.00055958185,0.906503,428,0.61
4412.943625211716,0.00055958185,0.88548875,429,0.63
4423.88144826889,0.00055958185,0.77545124,430,0.61
4434.810561180115,0.00055958185,0.8194508,431,0.66
4443.133702516556,0.00055958185,0.7020367,432,0.58
4454.164896726608,0.00055958185,0.8925896,433,0.64
4465.3294796943665,0.00055958185,0.9047833,434,0.61
4473.667392492294,0.00055958185,0.8261521,435,0.59
4481.699042081833,0.00055958185,0.8345703,436,0.64
4490.224805116653,0.00055958185,0.8659043,437,0.65
4498.318764209747,0.00055958185,0.7281522,438,0.61
4509.51441693306,0.00055958185,0.6757178,439,0.63
4520.484171867371,0.00055958185,0.8254048,440,0.63
4531.707538366318,0.00055958185,0.91032493,441,0.53
4542.58301281929,0.00055958185,0.9886756,442,0.66
4550.339669704437,0.00055958185,0.9837686,443,0.61
4557.099458932877,0.00055958185,0.8673509,444,0.61
4568.387820005417,0.00055958185,0.8028046,445,0.56
4579.257978916168,0.00055958185,0.9786827,446,0.58
4585.6213347911835,0.00055958185,1.0537736,447,0.64
4596.81511926651,0.00055958185,0.8403774,448,0.57
4604.7712461948395,0.00055958185,0.91347486,449,0.67
4612.533461809158,0.00055958185,0.62243086,450,0.65
4623.333522081375,0.0005204112,0.8144574,451,0.64
4634.944483041763,0.0005204112,0.7334623,452,0.65
4645.557132720947,0.0005204112,0.71091205,453,0.63
4657.581925392151,0.0005204112,0.72398955,454,0.59
4668.483944654465,0.0005204112,0.78852826,455,0.67
4679.4342749118805,0.0005204112,0.6978324,456,0.61
4687.388734817505,0.0005204112,0.6346215,457,0.66
4698.486214399338,0.0005204112,0.68428797,458,0.6
4709.984229326248,0.0005204112,0.6703641,459,0.68
4718.204035043716,0.0005204112,0.63488805,460,0.59
4726.817626953125,0.0005204112,0.76044935,461,0.64
4737.464125156403,0.0005204112,0.71955365,462,0.63
4748.421087741852,0.0005204112,0.60863435,463,0.68
4756.724296331406,0.0005204112,0.64580286,464,0.56
4767.7799236774445,0.0005204112,0.8461319,465,0.65
4778.63356590271,0.0005204112,0.79488724,466,0.57
4789.774590730667,0.0005204112,0.6008031,467,0.69
4801.369635105133,0.0005204112,0.64211535,468,0.64
4812.279848575592,0.0005204112,0.69910043,469,0.65
4823.379211902618,0.0005204112,0.69851154,470,0.61
4834.525162696838,0.0005204112,0.65077025,471,0.62
4845.573621034622,0.0005204112,0.61635697,472,0.7
4856.922300577164,0.0005204112,0.5482093,473,0.61
4867.606733560562,0.0005204112,0.65148616,474,0.69
4876.082096338272,0.0005204112,0.5256643,475,0.61
4884.110400438309,0.0005204112,0.8096144,476,0.55
4895.217467784882,0.0005204112,0.8526688,477,0.6
4906.371629238129,0.0005204112,0.6513938,478,0.68
4917.021586894989,0.0005204112,0.5439855,479,0.51
4924.956436634064,0.0005204112,0.8899638,480,0.64
4931.638130903244,0.0005204112,0.7062346,481,0.66
4942.716027736664,0.0005204112,0.58193976,482,0.69
4949.493148326874,0.0005204112,0.6565181,483,0.66
4957.641935348511,0.0005204112,0.61639315,484,0.66
4968.466920375824,0.0005204112,0.570271,485,0.62
4979.5125296115875,0.0005204112,0.6366069,486,0.67
4988.056387901306,0.0005204112,0.6021566,487,0.63
4995.8187601566315,0.0005204112,0.7141186,488,0.64
5006.824426174164,0.0005204112,0.54136294,489,0.63
5017.970760822296,0.0005204112,0.59821665,490,0.56
5029.113124370575,0.0005204112,0.76445925,491,0.63
5040.440505981445,0.0005204112,0.64576006,492,0.59
5052.024300575256,0.0005204112,0.875551,493,0.66
5059.936890125275,0.0005204112,0.8316985,494,0.63
5070.427525043488,0.0005204112,1.0122863,495,0.65
5078.598453760147,0.0005204112,0.83501184,496,0.65
5089.795475482941,0.0005204112,0.7563433,497,0.63
5100.1096386909485,0.0005204112,0.82401335,498,0.62
5108.064730882645,0.0005204112,0.79115725,499,0.64
5118.832437992096,0.0005204112,0.708869,500,0.59
5129.995610713959,0.00048398238,0.75924045,501,0.68
5138.209698677063,0.00048398238,0.6648806,502,0.64
5146.505860567093,0.00048398238,0.71565616,503,0.69
5157.682752609253,0.00048398238,0.60532635,504,0.59
5169.016413450241,0.00048398238,0.7555178,505,0.67
5180.607563018799,0.00048398238,0.75145787,506,0.62
5188.115711212158,0.00048398238,0.739054,507,0.67
5199.117802143097,0.00048398238,0.6720499,508,0.64
5210.242120265961,0.00048398238,0.59059846,509,0.72
5221.201237440109,0.00048398238,0.6789144,510,0.65
5229.253260135651,0.00048398238,0.69965106,511,0.73
5237.224531173706,0.00048398238,0.7638475,512,0.61
5248.7761816978455,0.00048398238,0.6252982,513,0.68
5259.785701990128,0.00048398238,0.6147444,514,0.69
5267.797683477402,0.00048398238,0.6802915,515,0.7
5275.878155231476,0.00048398238,0.62870467,516,0.63
5286.76566362381,0.00048398238,0.6826448,517,0.74
